,Index,Price_Gradient,Price,CH_Gradient,CH,lof
0,2013-03-01 01:00:00,0.00012000000000000902,1.306707833333333,-3.1438618350487275e-06,0.00015033090253808177,4.0
5,2013-03-01 01:05:00,-4.499999999996174e-05,1.3068316666666662,-3.9323841407002365e-06,0.00016579442423750958,4.358492158765626
10,2013-03-01 01:10:00,9.500000000006724e-05,1.3069259999999994,-2.1346664182809143e-06,0.00015201697604152832,5.254972029471958
15,2013-03-01 01:15:00,-8.000000000008001e-05,1.3070913333333327,-4.310184426433073e-06,0.0002547339696816415,5.32615233279861
20,2013-03-01 01:20:00,-2.5000000000052758e-05,1.3073318333333326,-6.99961012527225e-06,0.0002445073124791035,4.0
25,2013-03-01 01:25:00,-3.999999999992898e-05,1.3075524999999992,-2.7730880664884503e-06,0.00022829589872183027,4.470230704759457
30,2013-03-01 01:30:00,0.00014500000000006177,1.3077638333333326,-4.468215278680772e-06,0.00020537026888276712,4.288572236937317
35,2013-03-01 01:35:00,-9.499999999995624e-05,1.3079868333333324,-2.8358363843089475e-06,0.00018599693337564125,4.072567852040957
40,2013-03-01 01:40:00,-9.500000000006724e-05,1.3081589999999994,-4.809783505466291e-06,0.00018170252872085952,3.0424774447632656
45,2013-03-01 01:45:00,-5.000000000032756e-06,1.3082391666666662,-9.392363547007054e-06,0.0003027317666850081,5.386744079665832
50,2013-03-01 01:50:00,8.000000000008001e-05,1.308301333333333,-4.381217149218012e-06,0.0002765832108097922,4.005807856432832
55,2013-03-01 01:55:00,-0.00010999999999994348,1.308374833333333,-6.125148448617222e-06,0.00026989016284638965,6.617769604267148
60,2013-03-01 02:00:00,-0.00016499999999997073,1.3083859999999998,4.690307655481031e-06,0.000248419322340739,4.048835952870929
65,2013-03-01 02:05:00,-0.00036500000000005967,1.30833,-7.637711628328024e-07,0.00023130483307314467,6.62969887904175
70,2013-03-01 02:10:00,0.00011499999999997625,1.308235,-3.4651814140391816e-06,0.00022119974463648663,5.6654613376670815
75,2013-03-01 02:15:00,0.00015500000000012726,1.3080681666666665,-1.5621661431937763e-06,0.00020637083997051279,4.102818899196376
80,2013-03-01 02:20:00,8.500000000011275e-05,1.3078233333333336,-4.763404220259134e-06,0.000193560714153175,4.0
85,2013-03-01 02:25:00,9.9999999999989e-05,1.3076035,-2.517461164489588e-06,0.00017209381154768716,7.862999536903571
90,2013-03-01 02:30:00,-0.000439999999999996,1.3073778333333337,2.873625057754044e-05,0.00017023309663499958,4.091266124505242
95,2013-03-01 02:35:00,0.00031000000000003247,1.3070378333333332,4.182707330474813e-06,0.0002342634744552608,3.3448691936566495
100,2013-03-01 02:40:00,-5.500000000002725e-05,1.3067313333333332,-2.28067881442989e-06,0.00022285472273955132,4.708468985034196
105,2013-03-01 02:45:00,0.00024999999999997247,1.3064854999999995,-2.112807832477069e-06,0.00021231886572890878,4.280968187350218
110,2013-03-01 02:50:00,-0.0001100000000000545,1.3062971666666665,-3.869520545596223e-06,0.0001943500552338531,5.086123682868793
115,2013-03-01 02:55:00,-0.0004700000000000815,1.3060136666666662,1.65169217131631e-05,0.00018429881009126298,5.284354592037902
120,2013-03-01 03:00:00,-0.0007049999999999558,1.305654166666666,3.2149289410442795e-05,0.0002023753236965118,7.347814962076772
125,2013-03-01 03:05:00,0.00031999999999998696,1.305262499999999,-4.4109945139806826e-06,0.00025862277579608814,4.0
130,2013-03-01 03:10:00,6.499999999987072e-05,1.3049614999999997,-6.0416097595366515e-06,0.00028396192888874994,4.057912211769198
135,2013-03-01 03:15:00,7.499999999993623e-05,1.3046575,-8.170629239226396e-06,0.00025820789027795877,3.7625768800406454
140,2013-03-01 03:20:00,-0.000219999999999998,1.3043871666666669,-6.261116159784875e-06,0.00023105723491534527,4.241828083011508
145,2013-03-01 03:25:00,0.0001300000000000745,1.304124833333333,-1.2118510536300472e-06,0.00022473297484786582,4.330713407471779
150,2013-03-01 03:30:00,-0.00012499999999993072,1.3039420000000002,-4.357920321762659e-06,0.00020548845135944332,4.575339219686343
155,2013-03-01 03:35:00,4.9999999999994487e-05,1.3038581666666669,-4.863577826237174e-06,0.0001881954106261821,4.615064925435381
160,2013-03-01 03:40:00,5.000000000032756e-06,1.3037793333333336,-2.2702511423608584e-07,0.00017429518548282263,4.650866508570804
165,2013-03-01 03:45:00,-0.00018499999999999078,1.3037365000000003,-3.989852892755748e-06,0.0001688152654408144,3.9375507726265533
170,2013-03-01 03:50:00,-0.0001949999999999452,1.3036405000000004,-7.092832034487524e-08,0.0001743679714337489,4.024857191624089
175,2013-03-01 03:55:00,-5.000000000032756e-06,1.3035653333333341,-3.5561965023233423e-06,0.00016227316825898609,4.003667001646366
180,2013-03-01 04:00:00,7.500000000004725e-05,1.3035678333333338,-1.6277130081284945e-06,0.00015844920319232133,4.14394125591769
185,2013-03-01 04:05:00,7.000000000001451e-05,1.3035856666666672,-2.022764416276468e-06,0.00017072334621795094,4.072715638325945
190,2013-03-01 04:10:00,0.00014500000000006177,1.3035325000000004,8.024124133340708e-07,0.000190616751586031,4.10969576905298
195,2013-03-01 04:15:00,4.499999999996174e-05,1.3035100000000004,-5.138704561296923e-06,0.00019447446969764404,3.98895625566361
200,2013-03-01 04:20:00,0.0,1.303464166666667,-2.8318361607107123e-06,0.00019178630354627833,4.244903616282745
205,2013-03-01 04:25:00,9.999999999954491e-06,1.3034156666666674,-4.265590467788338e-06,0.00017963860871141152,4.0712660646486905
210,2013-03-01 04:30:00,0.00021000000000004349,1.3033106666666674,-3.243259711418152e-06,0.00016312334511917642,4.009706051775286
215,2013-03-01 04:35:00,-0.0002450000000000508,1.3032451666666676,-4.099326238791762e-06,0.00017075756999974522,4.195145990716607
220,2013-03-01 04:40:00,0.0002450000000000508,1.3031326666666674,-1.6750545437000958e-06,0.00017038861447605302,4.088198791953933
225,2013-03-01 04:45:00,0.00012499999999993072,1.3030433333333342,-3.848980848408307e-06,0.0001600017604107381,4.257919666346767
230,2013-03-01 04:50:00,-1.4999999999987244e-05,1.302956000000001,-3.778890273990884e-06,0.00015897594481192805,5.567722351114183
