,Index,Price_Gradient,Price,CH_Gradient,CH,lof
0,2017-10-01 16:01:00,-1.4999999999987244e-05,1.180305333333333,-8.310677564586313e-06,0.00014802990568463,4.45432326302298
5,2017-10-01 16:06:00,1.0000000000065512e-05,1.1804123333333332,-4.217047362704271e-06,0.00011602884198336577,3.504520356516519
10,2017-10-01 16:11:00,-2.0000000000020002e-05,1.1804735000000002,-4.008340263000081e-06,9.28184001772181e-05,4.0
15,2017-10-01 16:16:00,-3.5000000000007254e-05,1.1804855000000003,6.576052043626286e-07,9.151716347705878e-05,17.17449806516369
20,2017-10-01 16:21:00,5.500000000002725e-05,1.180532,-3.0009055011326177e-06,9.452788005430642e-05,4.0
25,2017-10-01 16:26:00,5.000000000032756e-06,1.180595,-4.015742347646368e-06,8.66622781145915e-05,4.0
30,2017-10-01 16:31:00,-0.0001899999999999125,1.1806826666666668,-2.53081437883299e-06,0.00010297577991318188,4.509260339485014
35,2017-10-01 16:36:00,3.5000000000007254e-05,1.1807071666666669,-4.097844313194729e-06,0.00010606053528530696,3.7301190614024446
40,2017-10-01 16:41:00,1.4999999999987244e-05,1.1807196666666673,-3.98212003521912e-06,8.574265779293321e-05,11.122321594401113
45,2017-10-01 16:46:00,-2.5000000000052758e-05,1.1807541666666674,-7.654233400503356e-07,7.374816034747873e-05,3.734834868027207
50,2017-10-01 16:51:00,0.0,1.1808106666666676,-1.8738265154087608e-06,6.245491485136403e-05,4.096631906630826
55,2017-10-01 16:56:00,3.5000000000007254e-05,1.180873333333334,1.3752250993094787e-07,6.316166493346971e-05,2.8899828869639346
60,2017-10-01 17:02:00,-2.9999999999974488e-05,1.1809195000000006,3.6378481954395967e-06,6.485602646649961e-05,3.593496557359453
65,2017-10-01 17:07:00,2.0000000000020002e-05,1.1809513333333341,-1.7966835184101296e-06,6.194291917852892e-05,4.932413856928876
70,2017-10-01 17:13:00,1.0000000000065512e-05,1.180974833333334,-6.452690576580822e-07,5.92104621830886e-05,5.764380348829369
75,2017-10-01 17:18:00,-3.0000000000085517e-05,1.181005833333334,-1.0723732629800738e-06,5.368340654735843e-05,3.2222530258433073
80,2017-10-01 17:23:00,0.0,1.1810135000000008,3.2833087777997862e-06,6.043785723996047e-05,4.598342899625807
85,2017-10-01 17:29:00,6.499999999987072e-05,1.1809928333333342,-2.867622115447317e-07,5.773213604805885e-05,3.7197564110820767
90,2017-10-01 17:34:00,-2.0000000000020002e-05,1.1809541666666674,-1.1899616195320242e-06,5.9438861297095544e-05,4.958128848408879
95,2017-10-01 17:39:00,4.9999999999994487e-05,1.1809435000000006,2.393404374112969e-06,5.6626567385562954e-05,4.72955642971044
100,2017-10-01 17:44:00,-5.000000000032756e-06,1.1809323333333337,-1.1122351778645269e-06,5.712384533175413e-05,3.7932358329896925
105,2017-10-01 17:49:00,-4.499999999996174e-05,1.180905166666667,1.1825627968690345e-06,5.611189543992515e-05,3.6766670240026817
110,2017-10-01 17:54:00,1.4999999999987244e-05,1.1808711666666674,3.2132587348886416e-07,5.473584578791395e-05,4.0774347645787845
